University Name,Slug,Study Mode,Duration,Acceditaion,Fees,Eligibility
Subharti University,subharti-university,Online & Distance,2 Years,"UGC, AICTE, DEC",53000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
NMIMS-SCE,nmims-sce,Online & Distance,2 Years,"AICTE, UGC & NAAC A+ Approved University",144000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
IMT Centre for Online Learning,imt-centre-for-online-learning,Online & Distance,2 Years,AICTE,110500,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
IIM Lucknow,iim-lucknow,Online & Distance,2 Years,"NAAC A+, UGC, AICTE",1115000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
LPU Online MBA,lpu-online-mba,Online & Distance,2 Years,UGC,54000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Sharda University,sharda-university,Online & Distance,2 Years,"UGC, NAAC A, NIRF",100000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Symbiosis (SSODL),symbiosis-ssodl,Online,2 Years,"UGC, AICTE, NAAC A++, NIRF",150000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Shiv Nadar University,shiv-nadar-university,Online & Distance,2 Years,"UGC, NAAC A, NIRF",100000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
BITS Pilani,bits-pilani,Online & Distance,2 Years,"AICTE, NIRF",267000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Uttaranchal University,uttaranchal-university,Online & Distance,2 Years,"UGC, NAAC A, NIRF",92000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Parul University,parul-university,Online & Distance,2 Years,"AICTE, NIRF",90000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
ICFAI Online,icfai-online,Online & Distance,2 Years,"UGC, NAAC A+, SAQS, AACSB, AIU",180000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Chandigarh University,chandigarh-university,Online & Distance,2 Years,"AICTE, NIRF",158000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Suresh Gyaan Vihar University,suresh-gyaan-vihar-university,Online & Distance,2 Years,"UGC, NAAC A, NIRF",98000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Welingkar Online MBA,welingkar-online-mba,Online & Distance,2 Years,AICTE,101000,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
XLRI – Xavier School of Management,xlri-xavier-school-of-management,Online & Distance,2 Years,"UGC, AICTE, DEC","4,00,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Amity University Online,amity-university-online,Online & Distance,2 Years,"UGC-DEB, NAAC A+, NIRF","2,25,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
IIM Kashipur,iim-kashipur,Online & Distance,2 Years,"AICTE, UGC & NAAC A+ Approved University","12,00,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Indian School of Business,indian-school-of-business,Online & Distance,2 Years,"UGC, AICTE, DEC","2,00,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Symbiosis (SCDL),symbiosis-scdl,Distance,2 Years,"AICTE, Govt. of India","58,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
D.Y. Patil Online MBA,d-y-patil-online-mba,Online & Distance,2 Years,"UGC, AICTE, NAAC A++, AIU, NIRF, Ministry of External Affairs","1,40,200/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Manipal University Jaipur,manipal-university-jaipur,Online & Distance,2 Years,"NAAC A+, UGC, AICTE","1,66,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Jain University Online MBA,jain-university-online-mba,Online & Distance,2 Years,"UGC-DEB, NAAC A++, NIRF, AICTE","2,00,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Sikkim Manipal University,sikkim-manipal-university,Online & Distance,2 Years,"UGC, AICTE, DEC","85,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Great Lakes,great-lakes,Online & Distance,2 Years,"AICTE, NIRF","3,50,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
Jaipur National University,jaipur-national-university,Online & Distance,2 Years,"NCTE, PCI, MCI, BCI, AICTE, and UGC","50,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
IIM Rohtak,iim-rohtak,Online & Distance,2 Years,"AICTE, UGC & NAAC A+ Approved University","6,95,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
MIT School of Online Education,mit-school-of-online-education,Online & Distance,2 Years,"AICTE, Govt. of India","65,000/- to 2,50,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
UPES,upes,Online & Distance,2 Years,"UGC-DEB, NAAC A, NIRF","1,35,000/-",Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
GITAM University,gitam-university,Online & Distance,2 Years,"UGC, AICTE, DEC",56000/-,Open to graduates from any discipline with a minimum of 50% marks or equivalent qualification.
